Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,4.460000,4.520000,4.450000,4.490000,4.490000,820400
2020-03-06,4.240000,4.320000,4.210000,4.240000,4.240000,319700
2020-03-09,3.750000,4.000000,3.750000,3.860000,3.860000,466300
2020-03-10,4.150000,4.260000,4.050000,4.250000,4.250000,524300
2020-03-11,4.090000,4.120000,3.990000,4.020000,4.020000,598900
2020-03-12,3.770000,3.770000,3.570000,3.600000,3.600000,821600
2020-03-13,3.830000,3.860000,3.730000,3.830000,3.830000,504900
2020-03-16,3.550000,3.880000,3.550000,3.670000,3.670000,687400
2020-03-17,3.790000,3.980000,3.740000,3.970000,3.970000,979900
2020-03-18,3.690000,3.880000,3.650000,3.760000,3.760000,559400
2020-03-19,3.850000,4.080000,3.800000,3.960000,3.960000,841900
2020-03-20,4.090000,4.110000,3.890000,3.920000,3.920000,835200
2020-03-23,3.860000,3.890000,3.710000,3.760000,3.760000,786300
2020-03-24,4.130000,4.300000,4.100000,4.290000,4.290000,698500
2020-03-25,4.370000,4.500000,4.230000,4.410000,4.410000,731700
2020-03-26,4.490000,4.520000,4.400000,4.520000,4.520000,467100
2020-03-27,4.340000,4.450000,4.250000,4.380000,4.380000,332000
2020-03-30,4.440000,4.560000,4.390000,4.520000,4.520000,495500
2020-03-31,4.240000,4.360000,4.200000,4.270000,4.270000,461700
2020-04-01,3.990000,4.080000,3.950000,3.980000,3.980000,740400
2020-04-02,3.870000,3.920000,3.790000,3.910000,3.910000,385100
2020-04-03,3.840000,3.850000,3.770000,3.790000,3.790000,671400
2020-04-06,4.050000,4.160000,4.020000,4.150000,4.150000,554900
2020-04-07,4.350000,4.350000,4.140000,4.160000,4.160000,713800
2020-04-08,4.200000,4.220000,4.150000,4.180000,4.180000,618800
2020-04-09,4.130000,4.200000,4.060000,4.080000,4.080000,592400
2020-04-13,4.040000,4.040000,3.960000,3.990000,3.990000,410700
2020-04-14,4.070000,4.110000,4.010000,4.060000,4.060000,558400
2020-04-15,3.920000,3.940000,3.870000,3.890000,3.890000,506900
2020-04-16,3.830000,3.830000,3.770000,3.800000,3.800000,287100
2020-04-17,3.840000,3.860000,3.810000,3.840000,3.840000,330300
2020-04-20,3.860000,3.940000,3.830000,3.840000,3.840000,383500
2020-04-21,3.940000,4.010000,3.870000,3.870000,3.870000,533900
2020-04-22,4.040000,4.050000,4.000000,4.000000,4.000000,264100
2020-04-23,4.040000,4.080000,4.000000,4.010000,4.010000,209300
2020-04-24,4.000000,4.000000,3.910000,3.930000,3.930000,264800
2020-04-27,3.970000,4.060000,3.970000,4.020000,4.020000,347400
2020-04-28,4.110000,4.110000,4.040000,4.070000,4.070000,425300
2020-04-29,4.180000,4.210000,4.140000,4.160000,4.160000,220100
2020-04-30,4.210000,4.220000,4.110000,4.140000,4.140000,381500
2020-05-01,4.110000,4.140000,4.070000,4.110000,4.110000,224500
2020-05-04,4.070000,4.080000,4.010000,4.010000,4.010000,330700
2020-05-05,4.090000,4.110000,4.040000,4.070000,4.070000,380400
2020-05-06,4.110000,4.110000,4.030000,4.030000,4.030000,234900
2020-05-07,4.080000,4.090000,3.990000,4.040000,4.040000,449100
2020-05-08,4.160000,4.160000,4.080000,4.100000,4.100000,192100
2020-05-11,4.000000,4.000000,3.900000,3.970000,3.970000,361100
2020-05-12,3.930000,3.940000,3.820000,3.830000,3.830000,383200
2020-05-13,3.890000,3.890000,3.790000,3.820000,3.820000,266000
2020-05-14,3.780000,3.820000,3.740000,3.800000,3.800000,261300
2020-05-15,3.760000,3.780000,3.720000,3.730000,3.730000,291800
2020-05-18,3.850000,3.890000,3.790000,3.870000,3.870000,430900
2020-05-19,3.920000,3.930000,3.830000,3.840000,3.840000,921500
2020-05-20,3.920000,3.940000,3.870000,3.890000,3.890000,378700
2020-05-21,3.920000,3.920000,3.860000,3.880000,3.880000,225600
2020-05-22,3.860000,3.860000,3.800000,3.830000,3.830000,250400
2020-05-26,4.020000,4.070000,3.970000,4.040000,4.040000,372000
2020-05-27,4.290000,4.310000,4.230000,4.280000,4.280000,466400
2020-05-28,4.340000,4.400000,4.320000,4.350000,4.350000,223400
2020-05-29,4.260000,4.270000,4.210000,4.260000,4.260000,285400
2020-06-01,4.370000,4.420000,4.360000,4.410000,4.410000,164100
2020-06-02,4.550000,4.590000,4.510000,4.560000,4.560000,513800
2020-06-03,4.470000,4.510000,4.470000,4.480000,4.480000,305600
2020-06-04,4.460000,4.470000,4.410000,4.440000,4.440000,211500
2020-06-05,4.570000,4.610000,4.560000,4.590000,4.590000,249300
2020-06-08,4.690000,4.760000,4.690000,4.740000,4.740000,182400
2020-06-09,4.640000,4.650000,4.600000,4.630000,4.630000,204400
2020-06-10,4.660000,4.670000,4.590000,4.610000,4.610000,198300
2020-06-11,4.420000,4.440000,4.290000,4.290000,4.290000,305200
2020-06-12,4.400000,4.430000,4.330000,4.400000,4.400000,280800
2020-06-15,4.300000,4.370000,4.270000,4.340000,4.340000,192000
2020-06-16,4.440000,4.440000,4.280000,4.360000,4.360000,469800
2020-06-17,4.390000,4.420000,4.360000,4.390000,4.390000,385700
2020-06-18,4.410000,4.440000,4.380000,4.430000,4.430000,541900
2020-06-19,4.490000,4.490000,4.420000,4.440000,4.440000,234200
2020-06-22,4.500000,4.520000,4.470000,4.510000,4.510000,189300
2020-06-23,4.610000,4.610000,4.540000,4.560000,4.560000,269400
2020-06-24,4.490000,4.490000,4.410000,4.440000,4.440000,147100
2020-06-25,4.390000,4.430000,4.360000,4.420000,4.420000,137700
2020-06-26,4.580000,4.580000,4.470000,4.490000,4.490000,216600
2020-06-29,4.530000,4.580000,4.530000,4.570000,4.570000,365400
